text,label_class,label_id,tokenized_text
小儿多动症2岁表现有哪些啊？孩子快两岁了感觉有点多动，我想了解一下小儿2岁的多动症有哪些啊？,临床表现(病症表现),3,小儿 多动症 2 岁 表现 现有 ？ 孩子 快 两岁 感觉 有点 动 ， 想 了解 一下 小儿 2 岁 多动症 ？
阵发性心悸吃什么药,治疗方法,5,阵发 阵发性 发性 心悸 吃 药
内痔手术后的第13天，中午大便时有点疼，但是肛门收缩时却很痛，这正常吗？应怎么办？,其他,12,内痔 手术 术后 13 天 ， 中午 大便 时 有点 疼 ， 肛门 收缩 时 却 很 痛 ， 正常 ？ 应 ？
早博吃稳心颗粒不怎么好应该配加点什么药好,其他,12,早 博 吃 稳心 颗粒 不怎么 好 应该 配 加点 药 好
半夜下肢抽筋怎么办？有无预防方法？,其他,12,半夜 下肢 抽筋 ？ 有无 预防 方法 ？
我这几天吃的白云山出的鼻舒适片，吃了两天了，也不见什么效果,治疗方法,5,几天 吃 白云 白云山 云山 出 鼻 舒适 片 ， 吃 两天 ， 不见 效果
什么是骨纤维瘤,定义,0,骨 纤维 纤维瘤
坐飞机会突发心悸吗,病因,1,坐飞机 飞机 机会 突发 心悸
问一下等渗性脱水如何体检,化验/体检方案,10,问 一下 渗 性 脱水 体检
您好，孩子轻微的支气管炎咳嗽，后来不咳嗽有痰，没痰多长时间后能打预防针？,治疗方法,5,您好 ， 孩子 轻微 支气管 支气管炎 气管 气管炎 管炎 咳嗽 ， 后来 不 咳嗽 痰 ， 没 痰 多长 多长时间 长时间 时间 后 打预防针 预防 预防针 ？
85岁的老人得肾结石应如何治疗,治疗方法,5,85 岁 老人 肾结石 结石 应 如何治 治疗
冒昧问一下艾滋病神经系统损害治好要多少天,治疗时间,11,冒昧 问 一下 艾滋 艾滋病 神经 神经系 神经系统 系统 损害 治好 天
不痛不痒，但感觉扭头有点不方便。,临床表现(病症表现),3,不痛 不痛不痒 ， 感觉 扭头 有点 不 方便 。
问一下先天性外展性髋挛缩治愈比例,治愈率,8,问 一下 先天 先天性 天性 外 展性 髋 挛缩 治愈 比例
肛门旁边内部长了个疙瘩，用手摸会疼，是硬的，坐着的时候不舒服的感觉，请问是怎么了。？,病因,1,肛门 门旁 旁边 内部 部长 疙瘩 ， 手摸 会 疼 ， 硬 ， 坐 不 舒服 感觉 ， 请问 。？
请问阴道里面有时候痒痒灼热的疼是怎么回事？,病因,1,请问 阴道 里面 面有 有时 有时候 痒痒 灼热 疼 怎么回事 回事 ？
珍菊降压丸在哪儿可以买到,其他,12,珍 菊 降压 丸 买到
痔疮出血用什么中药,治疗方法,5,痔疮 出血 中药
尿常规正常能排除慢性尿道炎吗,定义,0,尿常规 常规 规正 正常 排除 慢性 尿道 尿道炎
请问能治疗肾结石吗？,其他,12,请问 治疗 肾结石 结石 ？
怔忡与心悸有区别吗,其他,12,怔忡 心悸 区别
三叉神经营养性损害要做哪些检查,化验/体检方案,10,三叉 三叉神经 神经 经营 营养 营养性 养性 损害 做 检查
慢性支气管炎能治好吗,治愈率,8,慢性 支气管 支气管炎 气管 气管炎 管炎 治好
两三天没大便,病因,1,两三 两三天 三天 没大 大便
抑郁症，心烦意燥，什么也不想吃,临床表现(病症表现),3,抑郁 抑郁症 ， 心烦 意 燥 ， 不想 吃
11岁小孩拉大便出血后，屁股还有点疼，是怎么回事？,病因,1,11 岁 小孩 拉大 大便 出血 后 ， 屁股 有点 疼 ， 怎么回事 回事 ？
孕妇总是翻来覆去睡不着，吃什么东西可以帮助睡眠？也试过喝鲜奶可是没什么作用。,治疗方法,5,孕妇 总是 翻来 翻来覆去 睡不着 不着 ， 吃 东西 帮助 睡眠 ？ 试过 喝 鲜奶 没什么 作用 。
我的记忆有点减退，可以用这药治疗的吗，有效果的吗,治疗方法,5,记忆 有点 减退 ， 药 治疗 ， 有效 效果
您好多发性骨骺发育不良会让我得上吗,传染性,7,您好 好多 多发 多发性 发性 骨 骺 发育 发育不良 不良 会 上
小腿因血管瘤而肿大怎么样能消肿,治疗方法,5,小腿 血管 血管瘤 管瘤 肿大 消肿
如果得了肠出血性大肠埃希杆菌感染做啥检查,化验/体检方案,10,肠 出血 出血性 血性 大肠 埃 希 杆菌 感染 做 检查
痔疮，上厕所拉血，一个月了，多久能好？,治疗方法,5,痔疮 ， 上 厕所 拉 血 ， 一个月 ， 多久 好 ？
"孩子面部长的血管瘤，血管瘤处凸起是怎么回事,现在孩子4个月大了，内蒙古婴儿面部的血管瘤怎么治好？",治疗方法,5,孩子 面部 部长 血管 血管瘤 管瘤 ， 血管 血管瘤 管瘤 处 凸起 怎么回事 回事 现在 孩子 4 月 大 ， 内蒙 内蒙古 蒙古 婴儿 面部 血管 血管瘤 管瘤 治好 ？
请问月经推迟很多该怎么办？,病因,1,请问 月经 推迟 很多 ？
阿立哌唑片治疗精神分裂症的疗效显著，我想知道服用阿立哌唑片对人有哪些危害呢？,禁忌,9,立 哌 唑 片 治疗 精神 精神分裂 精神分裂症 分裂 分裂症 疗效 疗效显著 显著 ， 想 知道 服用 立 哌 唑 片 人 危害 ？
开放性颅脑损伤易发人群有哪些,其他,12,开放 开放性 颅脑 脑损伤 损伤 易发 发人 人群
如果得了结肠粪性穿孔能治吗,治愈率,8,了结 结肠 粪 性 穿孔 治
请问月经不调不是很有规律怎么办？,治疗方法,5,请问 月经 月经不调 不调 不是 很 规律 ？
心烦，心慌恐惧焦虑手脚震颤，心悸，冒冷汗,临床表现(病症表现),3,心烦 ， 心慌 慌恐 恐惧 焦虑 手脚 震颤 ， 心悸 ， 冷汗
"胳膊有肿胀，医院医生说是血管瘤导致的，请问应该挂什么科室？,内蒙古刚出生婴儿得了血管瘤怎么治？",治疗方法,5,胳膊 肿胀 ， 医院 医生 说 血管 血管瘤 管瘤 导致 ， 请问 应该 挂 科室 ？ 内蒙 内蒙古 蒙古 刚出生 出生 生婴儿 婴儿 血管 血管瘤 管瘤 治 ？
糖尿病可以吃微络康吗，还是服用阿卡波糖胶囊来治疗这个病啊？,治疗方法,5,糖尿 糖尿病 吃 微 络 康 ， 服用 阿卡 波 糖 胶囊 治疗 病 ？
斯利安的叶酸片好呢？还是汤臣倍健的叶酸亚铁片好呢？,其他,12,斯 利 安 叶酸 叶酸片 好 ？ 汤 臣 倍 健 叶酸 亚铁 铁片 好 ？
哮喘病不会传染是真的吗？我觉得自己有时呼吸快的时候有点像哮喘病人喘不过气时的声音。,传染性,7,哮喘 哮喘病 不会 传染 真的 ？ 觉得 有时 呼吸 快 有点 有点像 哮喘 哮喘病 病人 喘 过气 时 声音 。
为什么我胸部有很硬的东西,临床表现(病症表现),3,胸部 很硬 东西
尿路感染怎么办，平时应该注意哪些问题，怎么办,其他,12,尿路 尿路感染 感染 ， 平时 应该 注意 问题 ，
女人晚上失眠怎样调理好的呢？怀孕晚期时候失眠很严重，这个时候要怎么改善的呢？,治疗方法,5,女人 晚上 失眠 调理 理好 ？ 怀孕 孕晚期 晚期 失眠 很严 严重 ， 改善 ？
轻微脑梗塞2天内有必要做2次头颅CT和1次MRI吗？,化验/体检方案,10,轻微 脑梗塞 梗塞 2 天内 必要 做 2 次 头颅 CT 1 次 MRI ？
请问得了薄肾小球基底膜病要检查啥项目？,化验/体检方案,10,请问 薄 肾小球 小球 基底 基底膜 病 检查 项目 ？
肚子一直胀痛走路不敢直起走路连咳嗽都会疼痛是什么原因,病因,1,肚子 胀痛 走路 不敢 直起 走路 咳嗽 都 会 疼痛 原因
您好，请问黄芪注射液有吗作用好不好,其他,12,您好 ， 请问 黄芪 注射 注射液 作用 好不好 不好
你好，请问一下，得了肾结石，吃什么药会比较好呢？,治疗方法,5,你好 ， 请问 一下 ， 肾结石 结石 ， 吃 药 会 比较 好 ？
我爸爸前段时间因为心绞痛发作晕倒了，我们都非常的着急，医生说他的心脏现在非常的不好，请问下心绞痛要装支架吗？,治疗方法,5,爸爸 前段 前段时间 段时间 时间 心绞痛 绞痛 发作 晕倒 ， 都 非常 着急 ， 医生 说 心脏 现在 非常 不好 ， 请问 问下 心绞痛 绞痛 装 支架 ？
怀孕后总是失眠胃口也不好有什么办法可以解决呀！睡得不好，也不想吃东西了。,治疗方法,5,怀孕 后 总是 失眠 胃口 不好 办法 解决 ！ 睡 不好 ， 不想 吃 东西 。
您好，请问一下，右手第五掌掌骨骨折而且现在还有点畸形了是不是一定的做手术了？,治疗方法,5,您好 ， 请问 一下 ， 右手 第五 掌 掌骨 骨折 现在 有点 畸形 是不是 不是 一定 做手 做手术 手术 ？
可以跟深海鱼精制肝油吃吗？还是错开一些的时间服用比较好？,禁忌,9,深海 深海鱼 海鱼 鱼精 精制 肝油 吃 ？ 错开 时间 服用 比较 好 ？
在么？就是总是打嗝，然后大便黑绿色，怎么回事呢,病因,1,？ 总是 打嗝 ， 大便 黑绿 黑绿色 绿色 ， 怎么回事 回事
痔疮能顺产吗？,其他,12,痔疮 顺产 ？
四岁小孩一动就满头大汗，四岁女童，无论什么天气，一动就是满头大汗！易感冒！咳嗽，喘！,临床表现(病症表现),3,四岁 小孩 一动 满头 满头大汗 大汗 ， 四岁 女童 ， 天气 ， 一动 满头 满头大汗 大汗 ！ 易 感冒 ！ 咳嗽 ， 喘 ！
你好，我想大概问一下啊有没有糖尿病患者用的无糖型强力枇杷露,其他,12,你好 ， 想 大概 问 一下 有没有 没有 糖尿 糖尿病 病患 病患者 患者 无 糖 型 强力 枇杷 露
宝宝几个月吃鱼肝油好呢？我准备等宝宝满一百天的时候开始吃，可以吗？,其他,12,宝宝 几个 月 吃 鱼肝 鱼肝油 肝油 好 ？ 准备 宝宝 满 一百 一百天 百天 吃 ， ？
脑路瘀阻，中风偏瘫，心脉瘀阻，胸痹心痛，之前经常熬夜生物钟完全混乱，熬夜上火感冒身体不适。,临床表现(病症表现),3,脑 路 瘀 阻 ， 中风 风偏 偏瘫 ， 心脉 瘀 阻 ， 胸痹 心痛 ， 之前 经常 熬夜 生物 生物钟 完全 混乱 ， 熬夜 上火 感冒 身体 不适 。
请问大夫，去年肛门发痒，没在意，今年偶然发现长了像肉刺一样的东东，请问是什么病情？,定义,0,请问 大夫 ， 去年 肛门 发痒 ， 没 在意 ， 今年 偶然 发现 长 肉 刺 东东 ， 请问 病情 ？
最近感觉心悸，去医院检查，体检报告出来时我的心慌了，是窦性心动过缓，我想问一下窦性心动过缓的原因是什么呢？,病因,1,最近 感觉 心悸 ， 去 医院 检查 ， 体检 报告 出来 来时 心慌 ， 窦性心 心动 缓 ， 想 问 一下 窦性心 心动 缓 原因 ？
小孩呼吸肚子动得好厉害,临床表现(病症表现),3,小孩 呼吸 肚子 动 好 厉害
痔疮几年了，纸巾擦时会痛，出血，反反复复的，怎么样让痔疮变小？吃什么药？开刀会痛吗？,其他,12,痔疮 几年 ， 纸巾 擦 时会 痛 ， 出血 ， 反反 反反复复 反复 复 ， 痔疮 变小 ？ 吃 药 ？ 开刀 会 痛 ？
便血怎么办,治疗方法,5,便血
请问阴道炎是不是有很多种？,病因,1,请问 阴道 阴道炎 是不是 不是 很多 多种 ？
"肛裂是怎么引起的,怎么治,用什么药好,",治疗方法,5,肛裂 引起 治 药 好
宝宝会不会吃就拉不吃就不拉，一般吃多久便秘就不会了,其他,12,宝宝 会 不会 吃 拉 不吃 不 拉 ， 吃 多久 便秘 不会
脑积水怎么回事？,病因,1,脑积水 积水 怎么回事 回事 ？
心梗使用硝酸甘油三次每五分钟一次，治疗能康复吗？饮食需要怎样啊？,其他,12,心梗 使用 硝酸 硝酸甘油 甘油 三次 五分 五分钟 分钟 一次 ， 治疗 康复 ？ 饮食 需要 ？
我该咋样避开关节疼痛,预防,2,咋样 避开 开关 关节 疼痛
过敏性哮喘可以根治吗，有什么治疗的方法,治疗方法,5,过敏 过敏性 哮喘 根治 ， 治疗 方法
甘油三酯3.4，是什么病症，该怎样治疗？,其他,12,甘油 甘油三酯 3 . 4 ， 病症 ， 怎样治 治疗 ？
氨碘肽注射液你们健客网站有卖的吗？应该怎么购买？,其他,12,氨 碘 肽 注射 注射液 健 客 网站 卖 ？ 应该 购买 ？
请问早期结肠癌手术后是否一定需要化疗?,治疗方法,5,请问 早期 结肠 结肠癌 肠癌 手术 术后 是否 一定 需要 化疗 ?
肾结石通，左右肾都有结石，最大18MM，最小的有5MM有轻度积水,临床表现(病症表现),3,肾结石 结石 通 ， 左右 右肾 都 结石 ， 最大 18MM ， 最小 5MM 轻度 积水
T3T4正常TSH低是甲亢吗,定义,0,T3T4 正常 TSH 低 甲亢
宝宝先吃钙还是鱼肝油呢？想给宝宝补充一下营养，毕竟老喝奶粉也不太好。,治疗方法,5,宝宝 先 吃 钙 鱼肝 鱼肝油 肝油 ？ 想 宝宝 补充 一下 下营 营养 ， 毕竟 老 喝 奶粉 不太好 。
如何治疗洁癖强迫症,治疗方法,5,如何治 治疗 洁癖 强迫 强迫症
请问南极雪对乙酰氨基酚片主治功能是什么呢？有需注意的事项吗？,禁忌,9,请问 南极 雪 对乙酰氨基酚 乙酰 氨基 酚 片 主治 功能 ？ 需注意 注意 事项 ？
医生说我得的阵发性心房颤动非常危险，在日常生活中可能突发疾病去世，且比较难以治疗，请问得了阵发性心房颤动应该怎样治疗？,治疗方法,5,医生 说 阵发 阵发性 发性 心房 心房颤动 房颤 颤动 非常 危险 ， 日常 日常生活 常生 生活 中 可能 突发 疾病 去世 ， 比较 难以 治疗 ， 请问 阵发 阵发性 发性 心房 心房颤动 房颤 颤动 应该 怎样治 治疗 ？
您好，郭大夫，我两只手都是小指和无名指麻木，您说是怎么回事呢,临床表现(病症表现),3,您好 ， 郭 大夫 ， 两只 两只手 都 小指 无名 无名指 麻木 ， 说 怎么回事 回事
内痔出血，怎么治疗，经常有下坠感,治疗方法,5,内痔 出血 ， 治疗 ， 经常 常有 下坠 感
孕晚期睡不着，好不容易睡着后没几个小时就醒了，怎么办好呢？,治疗方法,5,孕晚期 晚期 睡不着 不着 ， 好不容易 不容 容易 睡着 后 没 几个 小时 醒 ， 办好 ？
上厕所肛门有鲜红的血是怎么回事？,定义,0,上 厕所 肛门 鲜红 血 怎么回事 回事 ？
特发性胃肠道嗜酸性细胞浸润综合征可以看啥科室,所属科室,6,特发 特发性 发性 胃肠 胃肠道 肠道 嗜 酸性 细胞 浸润 综合 综合征 看 科室
脱肛吃什么好,治疗方法,5,脱肛 吃 好
心绞痛胸闷能药物控制吗,治疗方法,5,心绞痛 绞痛 胸闷 药物 控制
请问月经推迟怀孕机会有多大？,其他,12,请问 月经 推迟 怀孕 机会 大 ？
孕妇失眠对胎儿的影响有哪些呢？会不会以后宝宝出生晚上也不喜欢睡觉啊？,相关病症,4,孕妇 失眠 胎儿 影响 ？ 会 不会 以后 宝宝 出生 晚上 不 喜欢 睡觉 ？
成都双流治疗便秘好不好便秘会引发什么疾病？,相关病症,4,成都 双流 治疗 便秘 好不好 不好 便秘 会 引发 疾病 ？
大腿内侧有隐痛，尿液很黄，有一两天了。阴道排出的白带呈褐色。。。我想知道是什么引起的？,病因,1,大腿 内侧 隐痛 ， 尿液 很 黄 ， 一两 一两天 两天 。 阴道 排出 白带 呈 褐色 。。。 想 知道 引起 ？
性爱过程中感到头晕心悸是怎么回事,其他,12,性爱 过程 中 感到 到头 头晕 心悸 怎么回事 回事
请问得了肛提肌综合征病症是啥,临床表现(病症表现),3,请问 肛 提 肌 综合 综合征 病症
什么方法能防止卵巢成熟畸胎瘤,预防,2,方法 防止 卵巢 成熟 畸胎 畸胎瘤
你好，我做了人流50天后才来月经，来了还特别多，肚子痛的厉害，这正常吗？,临床表现(病症表现),3,你好 ， 做 人流 50 天 后 才 月经 ， 还 特别 ， 肚子 肚子痛 厉害 ， 正常 ？
请问子宫壁厚流血多经期长怎么回事？,病因,1,请问 子宫 宫壁 厚 流血 经期 长 怎么回事 回事 ？
心悸与失眠怎么办,治疗方法,5,心悸 失眠
心包缩窄的治疗与预防方法有哪些？,其他,12,心包 缩 窄 治疗 预防 方法 ？
如果得了鞘膜积液治好得多少年,治疗时间,11,鞘 膜 积液 治好 好得多 少年
请问这个严重吗？如何做手术？风险多大？一般的医院是否具备这种手术的条件？一般费用是多少？,其他,12,请问 严重 ？ 做手 做手术 手术 ？ 风险 大 ？ 般的 医院 是否 具备 这种 手术 条件 ？ 费用 ？
遗传性压力易感性周围神经病怎么办,治疗方法,5,遗传 遗传性 压力 易感性 感性 周围 周围神经 神经 神经病
我今年15岁最近老是要很用力深呼吸才缓得过来，然后用力呼吸感觉胸口很酸。,临床表现(病症表现),3,今年 15 岁 最近 老 很 用力 深呼 深呼吸 呼吸 才 缓 过来 ， 后用 用力 呼吸 感觉 胸口 很 酸 。
我是胆固醇比较高，每天晚上睡觉前吃半片不知道行不行的,禁忌,9,胆固醇 固醇 比较 高 ， 每天 每天晚上 晚上 睡觉 前 吃 半片 不知 知道 道行 行不行 不行
请问月经不调怎么治疗好呢？,治疗方法,5,请问 月经 月经不调 不调 治疗 好 ？
请教一下外伤性腹膜后出血或血肿会传染给哪些人,传染性,7,请教 一下 外伤 外伤性 腹膜 后 出血 血肿 会 传染 传染给 人
妈妈患有糖尿病，不是很严重，只是她最近上火也很严重，可能是发炎了,治疗方法,5,妈妈 患有 糖尿 糖尿病 ， 不是 很严 严重 ， 最近 上火 很严 严重 ， 可能 发炎
做完爱肚子疼是什么原因？,其他,12,做 完 爱 肚子 肚子疼 原因 ？
肚子好硬怎么回事？,病因,1,肚子 好 硬 怎么回事 回事 ？
泌尿系统感染可以买什么药来吃的吗，这药物有什么效果呢？,其他,12,泌尿 泌尿系 泌尿系统 系统 感染 买 药 吃 ， 药物 效果 ？
小儿出血性疾病我会感染吗,传染性,7,小儿 出血 出血性 血性 性疾病 疾病 我会 感染
老是尿频！怎么回事,病因,1,老 尿频 ！ 怎么回事 回事
夏季流清鼻涕吹风扇流得更多,病因,1,夏季 流 清 鼻涕 吹风 风扇 流得 更多
癔症性眩晕步态是什么病？,定义,0,癔症 性 眩晕 步态 病 ？
打扰问一下小儿颅后窝室管膜瘤我会感染吗,传染性,7,打扰 问 一下 小儿 颅 后 窝 室管膜 瘤 我会 感染
脑疝需要手术吗,治疗方法,5,脑 疝 需要 手术
痔疮会自己好吗,其他,12,痔疮 会 好
我窦性心律，窒性早搏，我到底需要注意些什么呢？,禁忌,9,窦性心 心律 ， 窒 性 早搏 ， 到底 需要 注意 些 ？
口干口气重老喝水还不解渴尿频身体没劲,临床表现(病症表现),3,口干 口气 重 老 喝水 还 不解 解渴 尿频 身体 没劲
成都治疗便秘医院，严重便秘怎么办?,治疗方法,5,成都 治疗 便秘 医院 ， 严重 便秘 ?
"舌头上的血管瘤能治疗好吗？,我家孩子舌头上长有血管瘤，红色的，有凸起，内蒙古婴儿在舌头上的血管瘤危害大不大？",治疗方法,5,舌头 头上 血管 血管瘤 管瘤 治疗 好 ？ 我家 孩子 舌头 头上 长 血管 血管瘤 管瘤 ， 红色 ， 凸起 ， 内蒙 内蒙古 蒙古 婴儿 舌头 头上 血管 血管瘤 管瘤 危害 大不大 不大 ？
生完宝宝44天跟老公合房后.肚子疼.,其他,12,生 完 宝宝 44 天 老公 合 房 后 . 肚子 肚子疼 .
怎么老是吐奶,病因,1,老 吐 奶
防止患上痔疮的保健方法有哪些？,其他,12,防止 患上 痔疮 保健 方法 ？
失认症要做什么检查?,化验/体检方案,10,失认症 做 检查 ?
我最近在睡觉之前用意可贴，不知道为什么现在早上起来就发现黄色的地方起泡泡了？,治疗方法,5,最近 近在 睡觉 之前 用意 贴 ， 不知 知道 现在 早上 上起 起来 发现 黄色 地方 起泡 泡泡 ？
冒昧问一下原位癌多大概率能治好？,治愈率,8,冒昧 问 一下 原位 原位癌 大概 概率 治好 ？
婴儿奶粉哪个牌子好？有没有能使孩子智力提高，体质增强的奶粉？,其他,12,婴儿 奶粉 牌子 好 ？ 有没有 没有 使 孩子 智力 提高 ， 体质 增强 奶粉 ？
昨天给孩子洗澡时候发现，屁股上有了几个小白点，我总觉得是白癜风呢。是那种病吗。,临床表现(病症表现),3,昨天 孩子 洗澡 洗澡时 发现 ， 屁股 上有 几个 小 白点 ， 总觉 觉得 白癜风 。 那种 病 。
窦性心动过速是心脏病吗,临床表现(病症表现),3,窦性心 心动 心动过速 过速 心脏 心脏病
问一下十二指肠内瘘完全治愈要多久,治疗时间,11,问 一下 十二 十二指肠 指肠 内 瘘 完全 治愈 多久
请教一下乳溢如何体检？,化验/体检方案,10,请教 一下 乳 溢 体检 ？
请问得了缺铁性吞咽困难有什么一同出现,相关病症,4,请问 缺铁性 铁性 吞咽 吞咽困难 困难 一同 同出 出现
强迫症是什么时候提出,定义,0,强迫 强迫症 提出
阴囊肛门瘙痒，毛孔白点，医生说是瘙痒症，是怎么回事？牙齿萎缩是否与这个有关？,病因,1,阴囊 肛门 瘙痒 ， 毛孔 白点 ， 医生 说 瘙痒 瘙痒症 ， 怎么回事 回事 ？ 牙齿 萎缩 是否 ？
便血，检查出事高分化腺癌早期，已做了根治术，医生建议做化疗，是否可以不做？,治疗方法,5,便血 ， 检查 查出 出事 高分 分化 分化腺癌 腺癌 早期 ， 已 做 根治 根治术 ， 医生 建议 做 化疗 ， 是否 不 做 ？
变异性哮喘的病因是什么?,病因,1,变异 变异性 异性 哮喘 病因 ?
欣然硝苯地平控释片空服对胃有害吗？是否可长期服用,其他,12,欣然 硝苯地平 地平 控释 片 空 服 胃 有害 ？ 是否 长期 服用
怀孕期间犯痔疮了怎么办？,治疗方法,5,怀孕 怀孕期 孕期 期间 犯 痔疮 ？
请问得了角层下脓疱性皮肤病有什么并发,相关病症,4,请问 角 层 下 脓疱 性 皮肤 皮肤病 并发
您好十二指肠淤积症要检查啥项目？,化验/体检方案,10,您好 十二 十二指肠 指肠 淤积 症 检查 项目 ？
我和我男朋友同居快两年了，我们一直在外租房住的，前天我发现我阴部起了好多的小疙瘩，有点象疣，我昨天去医院检查结果就是尖锐湿疣，我知道这是性病，也不知道这个病怎么治效果好？,传染性,7,男朋友 朋友 同居 快 两年 ， 在外 租房 住 ， 前天 发现 阴部 好多 小 疙瘩 ， 有点 象 疣 ， 昨天 去 医院 检查 查结 尖锐 尖锐湿疣 湿疣 ， 知道 性病 ， 不知 知道 病 治 效果 好 ？
拉完尿发现尿液上面浮有大量泡沫，这是病态吗？,临床表现(病症表现),3,拉完 尿 发现 尿液 上面 浮 大量 泡沫 ， 病态 ？
